location,n_peak,peak_magnitude_norm,hosp_patients_norm,icu_patients_norm,total_tests_norm,new_tests_norm,total_cases_norm,mask_use,mobility,vaccination_1_dose,vaccination_full,reproduction_rate,positive_rate,tests_per_case,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,life_expectancy,human_development_index
Andorra,2,0.13392304664270754,,,,,522.0156682265946,57.47,-23.0,,,1.23,0.0813,12.3,59.26,163.755,,,,,,109.135,7.97,29.0,37.8,,83.73,0.868
Andorra,3,0.09992191235100965,,,,,1217.2609044134756,54.14,-42.0,0.0,0.0,1.01,0.0899,11.1,52.78,163.755,,,,,,109.135,7.97,29.0,37.8,,83.73,0.868
Angola,1,0.0010247683908441102,,,,,1.5919319638573093,75.91,-12.0,,,1.18,,,75.0,23.89,16.8,2.405,1.362,5819.495,,276.045,3.94,,,26.664,61.15,0.581
Angola,2,0.0020085696061052857,,,,,9.330277287613157,80.32,2.0,622752.0,109439.0,1.03,,,33.33,23.89,16.8,2.405,1.362,5819.495,,276.045,3.94,,,26.664,61.15,0.581
Angola,3,0.0036698113766907977,,,,,15.99593983675949,74.54,24.0,2044303.0,1000119.0,1.25,,,63.89,23.89,16.8,2.405,1.362,5819.495,,276.045,3.94,,,26.664,61.15,0.581
Angola,4,0.001799854073001544,,,,,26.439272849564993,70.89,24.0,8214821.0,4180976.0,0.95,,,73.15,23.89,16.8,2.405,1.362,5819.495,,276.045,3.94,,,26.664,61.15,0.581
Argentina,1,0.12578695413522084,,0.8330076622013817,0.5299597378168135,0.740519472699791,167.74217625674686,88.74,-40.0,,,1.07,0.412,2.4,87.96,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,,76.67,0.845
Argentina,2,0.1235181759355598,,1.7035105363628675,3.375721122278618,2.2274787147246524,885.5290255369364,87.75,-20.0,13165275.0,3316463.0,0.89,0.248,4.0,77.78,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,,76.67,0.845
Argentina,3,0.05295628446393786,,0.6378571438125347,7.325104734980882,2.0133174660612965,1837.1899570807,71.0,3.0,35916165.0,33761195.0,0.63,0.469,2.1,49.07,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,,76.67,0.845
Armenia,1,0.03681743502975613,,,0.3262763600491623,0.36689792353968564,68.28546477779935,75.83,-15.0,,,1.03,0.266,3.8,,102.931,35.7,11.232,7.571,8787.58,1.8,341.01,7.11,1.5,52.1,94.043,75.09,0.776
Armenia,2,0.09538805792742092,,,1.5518400823684153,1.245566228949695,385.37084654031094,67.85,-17.0,,,0.83,0.437,2.3,,102.931,35.7,11.232,7.571,8787.58,1.8,341.01,7.11,1.5,52.1,94.043,75.09,0.776
Armenia,3,0.06888353224658775,,,3.1207986987084113,1.9776775125601052,694.5185652370787,44.3,-10.0,4473.0,2182.0,0.94,0.187,5.3,,102.931,35.7,11.232,7.571,8787.58,1.8,341.01,7.11,1.5,52.1,94.043,75.09,0.776
Armenia,4,0.16147113887945536,,,7.3378203365892585,3.0278343791103346,1074.8053992280657,51.41,-4.0,614096.0,273455.0,0.93,0.152,6.6,,102.931,35.7,11.232,7.571,8787.58,1.8,341.01,7.11,1.5,52.1,94.043,75.09,0.776
Armenia,5,0.06379263609925179,,,9.65578977726028,1.0754253185846434,1399.750954136749,35.81,-1.0,1095723.0,896723.0,0.58,0.238,4.2,,102.931,35.7,11.232,7.571,8787.58,1.8,341.01,7.11,1.5,52.1,94.043,75.09,0.776
Australia,1,0.006556799149782244,0.1942747728545948,0.012020993929126624,2.3730958212427016,2.6196072415553195,9.954158521312273,31.75,-25.0,,,0.61,0.002,500.0,75.46,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13.0,16.5,,83.44,0.944
Australia,2,0.005531712902059107,0.5607212006940999,0.11361778133013228,15.348657877355382,6.907805995272957,49.42993926257097,58.8,-23.0,17821512.0,12883681.0,1.08,0.014,71.4,74.54,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13.0,16.5,,83.44,0.944
Australia,3,0.029630792613541294,1.9206446106762636,0.15278295509922227,23.538919732217238,3.9847268231068473,978.4565563412158,58.4,-16.0,21824697.0,20178059.0,0.82,0.187,5.3,66.2,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13.0,16.5,,83.44,0.944
Australia,4,0.018975645380989312,0.977966022234108,0.0368385297828074,25.856780249677595,5.188958973006936,1794.6812685809182,22.35,-11.0,22304774.0,20966488.0,1.08,0.192,5.2,48.61,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13.0,16.5,,83.44,0.944
Australia,5,0.017988509554576804,1.1202790793950586,0.0418795917530863,27.67153541479816,2.863400753917962,2742.226808468379,20.17,-5.0,22304774.0,20966488.0,0.87,0.158,6.3,43.06,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13.0,16.5,,83.44,0.944
Austria,1,0.02212876644131552,1.2009193336069865,0.2941478294101827,0.1396505523786607,0.6117390196605755,14.28165119109966,41.26,-58.0,,,0.64,,,81.48,106.749,44.4,19.202,13.748,45436.686,0.7,145.183,6.35,28.4,30.9,,81.54,0.922
Austria,2,0.14191552881587144,4.4011592520771705,0.709935738651644,3.5489488527792323,3.1708251355291655,322.6458884768362,58.51,-44.0,0.0,0.0,0.75,,,82.41,106.749,44.4,19.202,13.748,45436.686,0.7,145.183,6.35,28.4,30.9,,81.54,0.922
Austria,3,0.0745298912692501,3.6514140327534714,0.7198881088196577,122.82478343642515,54.35697072853119,1278.3509851519484,50.34,-31.0,6457526.0,5943324.0,0.79,0.0255,39.1,62.04,106.749,44.4,19.202,13.748,45436.686,0.7,145.183,6.35,28.4,30.9,,81.54,0.922
Austria,4,0.043557531666230234,3.6348267491401156,0.2620790810910275,192.90078526412262,58.21417765998103,4181.896373267846,32.1,-5.0,6819289.0,6410132.0,0.77,0.0828,12.1,40.74,106.749,44.4,19.202,13.748,45436.686,0.7,145.183,6.35,28.4,30.9,,81.54,0.922
Azerbaijan,1,0.007654401768149443,,,,,27.28070189167067,64.02,-21.0,,,0.85,,,96.3,119.309,32.4,6.018,3.871,15847.419,,559.812,7.11,0.3,42.5,83.241,73.0,0.756
Azerbaijan,2,0.040477432120057784,,,,,175.07578733533765,81.76,-20.0,0.0,0.0,0.99,,,80.09,119.309,32.4,6.018,3.871,15847.419,,559.812,7.11,0.3,42.5,83.241,73.0,0.756
Azerbaijan,3,0.031954354221084606,,,,,285.51714585755894,73.88,-10.0,813413.0,429778.0,1.04,,,72.22,119.309,32.4,6.018,3.871,15847.419,,559.812,7.11,0.3,42.5,83.241,73.0,0.756
Azerbaijan,4,0.03655861325804942,,,4.3831441062728596,1.8684688688945614,419.36963091528565,48.31,-8.0,4204320.0,2731755.0,1.03,0.2443,4.1,63.89,119.309,32.4,6.018,3.871,15847.419,,559.812,7.11,0.3,42.5,83.241,73.0,0.756
Azerbaijan,5,0.026079815048774647,,,5.141988766102363,1.349264976313034,530.3059351225978,50.96,-4.0,5021160.0,4424698.0,1.06,0.1941,5.2,76.85,119.309,32.4,6.018,3.871,15847.419,,559.812,7.11,0.3,42.5,83.241,73.0,0.756
Azerbaijan,6,0.024962898059578156,,,6.274031275872161,1.5339403623706684,731.578630240751,55.63,-4.0,5292180.0,4764378.0,0.95,0.3682,2.7,79.63,119.309,32.4,6.018,3.871,15847.419,,559.812,7.11,0.3,42.5,83.241,73.0,0.756
Bahamas,1,0.0563306706238631,,,,,44.94676428647011,42.65,-72.0,,,1.18,,,80.09,39.497,34.3,8.996,5.2,27717.847,,235.954,13.17,3.1,20.4,,73.92,0.814
Bahamas,2,0.1869162233380531,,,,,470.98363877313477,66.01,-17.0,104329.0,58801.0,1.08,,,52.31,39.497,34.3,8.996,5.2,27717.847,,235.954,13.17,3.1,20.4,,73.92,0.814
Bahrain,1,0.015743194369371303,,,,,124.48700019161527,70.52,-21.0,,,1.05,0.0593,16.9,75.0,1935.907,32.4,2.372,1.387,43290.705,,151.689,16.52,5.8,37.6,,77.29,0.852
Bahrain,2,0.016424547785127797,,,8.968949748183231,5.948080844479907,438.2612774159967,58.82,-18.0,,,0.83,0.0456,21.9,60.19,1935.907,32.4,2.372,1.387,43290.705,,151.689,16.52,5.8,37.6,,77.29,0.852
Bahrain,3,0.11473436336545034,,,26.559968426381133,9.886775401176575,1388.724442957281,70.33,-22.0,959135.0,798397.0,0.9,0.1431,7.0,62.96,1935.907,32.4,2.372,1.387,43290.705,,151.689,16.52,5.8,37.6,,77.29,0.852
Bahrain,4,0.010430997766395259,,,53.001141111768895,,2775.0637049239403,66.01,-2.0,1230713.0,1156870.0,0.75,0.1691,5.9,38.89,1935.907,32.4,2.372,1.387,43290.705,,151.689,16.52,5.8,37.6,,77.29,0.852
Bangladesh,1,0.002590116218484261,,,0.04919818461541163,0.08809195554243736,9.403951548967456,64.3,-45.0,,,0.95,0.2152,4.6,74.54,1265.036,27.5,5.098,3.262,3523.984,14.8,298.003,8.38,1.0,44.7,34.808,72.59,0.632
Bangladesh,2,0.005523023461551565,,,0.31241400135585845,0.14522845803828993,43.48802196543147,68.18,-53.0,5729588.0,1522399.0,0.79,0.1999,5.0,83.33,1265.036,27.5,5.098,3.262,3523.984,14.8,298.003,8.38,1.0,44.7,34.808,72.59,0.632
Bangladesh,3,0.014263679757684465,,,0.47804275236694665,0.29773277042513613,78.76623446047381,64.99,-31.0,9887992.0,4419129.0,1.03,0.2943,3.4,93.52,1265.036,27.5,5.098,3.262,3523.984,14.8,298.003,8.38,1.0,44.7,34.808,72.59,0.632
Bangladesh,4,0.0018773825034608114,,,0.7653335293123787,0.2334346625333079,111.93583220807135,52.81,32.0,100189795.0,66597640.0,0.82,0.26,3.8,68.52,1265.036,27.5,5.098,3.262,3523.984,14.8,298.003,8.38,1.0,44.7,34.808,72.59,0.632
Barbados,1,0.10234383923978477,,,,,583.2997344529871,57.69,-14.0,148700.0,124798.0,1.06,,,67.59,664.463,39.8,14.952,9.473,16978.068,,170.05,13.57,1.9,14.5,88.469,79.19,0.814
Barbados,2,0.12115185688267271,,,,,2060.1443129839977,57.69,8.0,161612.0,151177.0,1.19,0.1802,5.5,47.22,664.463,39.8,14.952,9.473,16978.068,,170.05,13.57,1.9,14.5,88.469,79.19,0.814
Belarus,1,0.01733705968748686,,,10.077241371714756,,629.261219076791,67.79,-11.0,2864916.0,2089710.0,0.99,0.0538,18.6,19.44,46.858,40.3,14.799,9.788,17167.967,,443.129,5.18,10.5,46.1,,74.79,0.823
Belgium,1,0.2420095355755775,4.774622186742575,1.0539587326154838,0.135192129111836,0.5758087757796501,26.29652828056691,14.13,-74.0,,,1.14,0.21,4.8,81.48,375.564,41.8,18.571,12.849,42658.576,0.2,114.898,4.29,25.1,31.4,,81.63,0.931
Belgium,2,0.16306251952531625,6.067569930505778,1.2637188718962162,4.612781063542364,3.3703468280742284,436.2624044323349,73.03,-56.0,,,0.75,0.219,4.6,65.74,375.564,41.8,18.571,12.849,42658.576,0.2,114.898,4.29,25.1,31.4,,81.63,0.931
Belgium,3,0.040606341943070064,3.1481214346149278,0.7023525975096658,21.893166066242596,7.389488644325378,1606.647470748347,56.84,-18.0,8923841.0,8388411.0,1.03,0.169,5.9,50.0,375.564,41.8,18.571,12.849,42658.576,0.2,114.898,4.29,25.1,31.4,,81.63,0.931
Belize,1,0.09898900492695999,,,,,136.20142499043007,,,,,0.95,,,66.67,16.426,25.0,3.853,2.279,7824.362,,176.957,17.11,,,90.083,74.62,0.716
Belize,2,0.08831387883876864,,,,,713.7053455663535,52.19,-2.0,226256.0,187697.0,0.92,0.1041,9.6,70.37,16.426,25.0,3.853,2.279,7824.362,,176.957,17.11,,,90.083,74.62,0.716
Benin,1,0.0005668190949809698,,,,,0.8457130979755814,56.3,-13.0,,,1.07,,,41.67,99.11,18.8,3.244,1.942,2064.236,49.6,235.848,0.99,0.6,12.3,11.035,61.77,0.545
Benin,2,0.0007811821433903746,,,,,4.130581636171334,55.15,-21.0,0.0,0.0,0.79,,,30.56,99.11,18.8,3.244,1.942,2064.236,49.6,235.848,0.99,0.6,12.3,11.035,61.77,0.545
Benin,3,0.0008385765580376436,,,,,8.17843919913138,57.91,0.0,76844.0,66339.0,0.43,,,37.04,99.11,18.8,3.244,1.942,2064.236,49.6,235.848,0.99,0.6,12.3,11.035,61.77,0.545
Bolivia,1,0.14409502966972862,,,0.21704756959726648,0.22116235564867417,102.7673943305364,81.57,-37.0,,,0.86,0.3213,3.1,81.48,10.202,25.4,6.704,4.393,6885.829,7.1,204.299,6.89,,,25.383,71.51,0.718
Bolivia,2,0.06675541254511982,1.886260518944749,0.19606292132400616,1.3982015959521796,0.9173547461086581,345.73498918611574,80.9,-13.0,1556720.0,535671.0,0.99,0.2391,4.2,27.78,10.202,25.4,6.704,4.393,6885.829,7.1,204.299,6.89,,,25.383,71.51,0.718
Bosnia and Herzegovina,1,0.16317188694572232,,,1.148756580058153,0.7323517776690315,222.73606011290474,46.99,-19.0,,,0.98,0.3273,3.1,50.0,68.496,42.5,16.569,10.711,11713.895,0.2,329.635,10.08,30.2,47.7,97.164,77.4,0.78
Bosnia and Herzegovina,2,0.22953144513229673,,,,,531.5770781860597,44.35,-29.0,0.0,10000.0,1.05,0.351,2.8,42.59,68.496,42.5,16.569,10.711,11713.895,0.2,329.635,10.08,30.2,47.7,97.164,77.4,0.78
Bosnia and Herzegovina,3,0.15054916966936002,,,,,1076.2169832683664,22.47,-13.0,947928.0,850536.0,0.9,,,36.11,68.496,42.5,16.569,10.711,11713.895,0.2,329.635,10.08,30.2,47.7,97.164,77.4,0.78
Brazil,1,0.04933329755653585,,,,,98.199224713621,70.4,-33.0,,,1.06,,,81.02,25.04,33.5,8.552,5.06,14103.452,3.4,177.961,8.11,10.1,17.9,,75.88,0.765
Brazil,2,0.13660742971089476,,,1.9973342080143475,0.30457475563468317,625.5042181409664,68.93,-28.0,22693305.0,6851273.0,0.99,,,70.83,25.04,33.5,8.552,5.06,14103.452,3.4,177.961,8.11,10.1,17.9,,75.88,0.765
Brazil,3,0.039283602795096885,,,,,1275.7090064269773,57.42,8.0,173919883.0,152092266.0,0.88,,,61.57,25.04,33.5,8.552,5.06,14103.452,3.4,177.961,8.11,10.1,17.9,,75.88,0.765
Bulgaria,1,0.19608970348669028,9.620605931426176,0.7148392952815531,1.424323820750784,1.3131003363224636,220.27055144849206,61.16,-30.0,0.0,0.0,0.93,0.3781,2.6,53.7,65.18,44.7,20.801,13.272,18563.307,1.5,424.688,5.81,30.1,44.4,,75.05,0.816
Bulgaria,2,0.17279805296915682,15.0826741369548,1.0642840623461665,3.1745984103888043,2.790338214685235,517.4378013689245,54.61,-19.0,414790.0,104845.0,0.9,0.1655,6.0,53.7,65.18,44.7,20.801,13.272,18563.307,1.5,424.688,5.81,30.1,44.4,,75.05,0.816
Bulgaria,3,0.2307527418726905,12.34801508847405,1.0483343011938395,8.550784402003579,,932.3403882026867,49.13,-10.0,1760964.0,1579989.0,0.87,0.1072,9.3,47.22,65.18,44.7,20.801,13.272,18563.307,1.5,424.688,5.81,30.1,44.4,,75.05,0.816
Burkina Faso,1,0.0013982378197391024,,,,,7.108401660000883,32.63,28.0,385547.0,307142.0,0.1,,,13.89,70.151,17.6,2.409,1.358,1703.102,43.7,269.048,2.42,1.6,23.9,11.877,61.58,0.452
Cambodia,1,0.01593906177141803,,,0.9322013595062941,0.42923454274719314,36.50912999693269,80.05,-38.0,5032502.0,3866272.0,1.02,0.0355,28.2,68.98,90.672,25.6,4.412,2.385,3645.07,,270.892,4.0,2.0,33.7,66.229,69.82,0.594
Cambodia,2,0.011279259657157613,,,,,66.47470507975537,75.68,-34.0,13406617.0,11060573.0,0.85,0.2509,4.0,69.44,90.672,25.6,4.412,2.385,3645.07,,270.892,4.0,2.0,33.7,66.229,69.82,0.594
Cameroon,1,0.0062598129602190866,,,,,17.50974920826137,32.04,1.0,0.0,0.0,0.39,,,35.19,50.885,18.8,3.165,1.919,3364.926,23.8,244.661,7.2,,,2.735,59.29,0.563
Cameroon,2,0.0034476240836207057,,,,,33.9046839910665,26.36,21.0,387945.0,84470.0,0.55,,,38.89,50.885,18.8,3.165,1.919,3364.926,23.8,244.661,7.2,,,2.735,59.29,0.563
Canada,1,0.04732461829467772,0.6054968130246594,0.1394875521544877,0.12085112204601288,0.5614176957901528,11.195517863035992,17.32,-55.0,,,1.08,0.1077,9.3,74.54,4.037,41.4,16.984,10.797,44017.591,0.5,105.599,7.37,12.0,16.6,,82.43,0.929
Canada,2,0.039899024120392416,1.196283074409674,0.2293269925251747,4.952152223317312,3.5591654315275965,172.40188607134831,84.9,-46.0,261086.0,2694.0,1.02,0.0792,12.6,75.46,4.037,41.4,16.984,10.797,44017.591,0.5,105.599,7.37,12.0,16.6,,82.43,0.929
Canada,3,0.040202803972994264,2.773989737761563,0.3112857802317663,14.551836608431882,4.23304004083439,748.3712070057531,78.75,-32.0,32189028.0,29701817.0,0.81,0.2047,4.9,70.83,4.037,41.4,16.984,10.797,44017.591,0.5,105.599,7.37,12.0,16.6,,82.43,0.929
Cape Verde,1,0.038966038270086725,,,,,419.18416233464615,61.45,-40.0,14281.0,1960.0,1.13,,,59.26,135.58,25.7,4.46,3.437,6222.554,,182.219,2.42,2.1,16.5,,72.98,0.665
Cape Verde,2,0.031727610095016734,,,,2.4043381307383327,972.3598996976336,45.43,-10.0,327019.0,271456.0,0.55,,,62.96,135.58,25.7,4.46,3.437,6222.554,,182.219,2.42,2.1,16.5,,72.98,0.665
Central African Republic,1,0.004875047716589496,,,,,6.0223736363531035,56.9,-22.0,,,0.99,,,64.81,7.479,18.3,3.655,2.251,661.24,,435.727,6.1,,,16.603,53.28,0.397
Central African Republic,2,0.001796451586152565,,,,,12.550846170935005,58.93,-10.0,0.0,0.0,1.15,,,11.11,7.479,18.3,3.655,2.251,661.24,,435.727,6.1,,,16.603,53.28,0.397
Central African Republic,3,0.0010707432920046332,,,,,25.7114500505794,70.28,19.0,613364.0,479653.0,0.5,,,18.52,7.479,18.3,3.655,2.251,661.24,,435.727,6.1,,,16.603,53.28,0.397
Chad,1,0.0016432830292193578,,,,,0.1903637514310536,69.97,-25.0,,,1.18,,,88.89,11.833,16.7,2.486,1.446,1768.153,38.4,280.995,6.1,,,5.818,54.24,0.398
Chad,2,0.0006547054992954472,,,,,2.5013323984620737,56.35,-6.0,0.0,0.0,0.93,,,22.22,11.833,16.7,2.486,1.446,1768.153,38.4,280.995,6.1,,,5.818,54.24,0.398
Chile,1,0.08998433961425462,,0.8619450330990015,0.42263205325820946,1.0526035268334002,104.95013575113774,93.31,-61.0,,,0.99,0.3116,3.2,78.24,24.282,35.4,11.087,6.938,22767.037,1.3,127.993,8.46,34.2,41.5,,80.18,0.851
Chile,2,0.05935013399185378,,1.5318262273009429,8.729570054946914,2.0975036801825824,811.2261261785511,93.97,-20.0,12880250.0,10884341.0,0.75,0.068,14.7,84.72,24.282,35.4,11.087,6.938,22767.037,1.3,127.993,8.46,34.2,41.5,,80.18,0.851
Chile,3,0.06406541824477385,,0.5761915166911804,17.083972288258988,2.6686463642523495,1593.2549053572902,86.55,9.0,16869348.0,15857187.0,0.83,0.2582,3.9,30.09,24.282,35.4,11.087,6.938,22767.037,1.3,127.993,8.46,34.2,41.5,,80.18,0.851
Colombia,1,0.06101043343851514,,,0.38115867444757223,0.6902451868486854,77.56100207153531,88.55,-42.0,,,1.12,0.317,3.2,87.04,44.223,32.2,7.646,4.312,13254.949,4.5,124.24,7.44,4.7,13.5,65.386,77.29,0.767
Colombia,2,0.07402287981582123,,,1.830674152014789,1.5341404425609637,384.7288879938593,87.63,-28.0,0.0,0.0,0.95,0.256,3.9,81.02,44.223,32.2,7.646,4.312,13254.949,4.5,124.24,7.44,4.7,13.5,65.386,77.29,0.767
Colombia,3,0.12436394266895964,,,3.752744834518564,2.328587567694442,791.9528716987204,83.26,3.0,10952297.0,5566656.0,1.06,0.331,3.0,59.26,44.223,32.2,7.646,4.312,13254.949,4.5,124.24,7.44,4.7,13.5,65.386,77.29,0.767
Colombia,4,0.04718719230608155,,,6.251791129301868,1.1570667493780116,1145.3975757463922,73.0,31.0,40439537.0,31568206.0,0.76,0.407,2.5,62.04,44.223,32.2,7.646,4.312,13254.949,4.5,124.24,7.44,4.7,13.5,65.386,77.29,0.767
Congo,1,0.004439429558016177,,,,,8.180990087178454,42.98,-4.0,,,0.51,,,62.04,15.405,19.0,3.402,2.063,4881.406,37.0,344.094,7.2,1.7,52.3,47.964,64.57,0.574
Congo,2,0.007173592621340894,,,,,31.235543396811426,40.86,20.0,371121.0,124070.0,0.84,,,47.22,15.405,19.0,3.402,2.063,4881.406,37.0,344.094,7.2,1.7,52.3,47.964,64.57,0.574
Costa Rica,1,0.031122645748156326,,,0.8874417134830094,0.47868741575539303,345.6162059430016,85.96,-34.0,14052.0,42.0,1.03,0.28,3.6,63.89,96.079,33.6,9.468,5.694,15524.995,1.3,137.973,8.78,6.4,17.4,83.841,80.28,0.81
Costa Rica,2,0.05741645077410177,,,1.859601370135704,1.325341458825196,577.2114045136332,86.92,-33.0,784297.0,555847.0,1.1,0.289,3.5,56.48,96.079,33.6,9.468,5.694,15524.995,1.3,137.973,8.78,6.4,17.4,83.841,80.28,0.81
Costa Rica,3,0.06384045247246915,,,3.6004726940936393,1.5399724423935695,1003.9417768215272,84.56,-22.0,3317464.0,2056899.0,1.0,0.303,3.3,54.63,96.079,33.6,9.468,5.694,15524.995,1.3,137.973,8.78,6.4,17.4,83.841,80.28,0.81
Costa Rica,4,0.03386081850099619,,,5.3484056303758685,2.520114114409795,1473.2150067337311,76.77,-10.0,4111822.0,3732847.0,0.97,0.398,2.5,50.0,96.079,33.6,9.468,5.694,15524.995,1.3,137.973,8.78,6.4,17.4,83.841,80.28,0.81
Cote d'Ivoire,1,0.0008533374239736933,,,0.1896270552094878,0.11096478036273803,16.05034208164827,29.89,7.0,2488901.0,2339567.0,0.83,0.1075,9.3,25.93,76.399,18.7,2.933,1.582,3601.006,28.2,303.74,2.42,,,19.351,57.78,0.538
Cote d'Ivoire,2,0.0024979974276279166,,,,,21.49360442549131,30.75,35.0,6315293.0,5991319.0,0.88,0.0389,25.7,17.59,76.399,18.7,2.933,1.582,3601.006,28.2,303.74,2.42,,,19.351,57.78,0.538
Cote d'Ivoire,3,0.0010281309734823376,,,,,29.233785973778232,31.74,43.0,6315788.0,5991795.0,0.66,0.0463,21.6,15.74,76.399,18.7,2.933,1.582,3601.006,28.2,303.74,2.42,,,19.351,57.78,0.538
Croatia,1,0.18017068109838727,7.1490573558728725,,2.281813488982538,2.6579891450947497,466.0729698747347,37.78,-27.0,0.0,0.0,0.82,0.3123,3.2,56.48,73.726,44.0,19.724,13.053,22669.797,0.7,253.782,5.59,34.3,39.9,,78.49,0.851
Croatia,2,0.10699251345715724,5.581066708937081,,4.3721140703395704,2.947822416239287,802.9508603981177,23.61,-4.0,648709.0,177130.0,0.93,0.2352,4.3,49.07,73.726,44.0,19.724,13.053,22669.797,0.7,253.782,5.59,34.3,39.9,,78.49,0.851
Croatia,3,0.1579307828168805,6.139663376907957,,,,1469.9348818384296,31.08,5.0,2184481.0,1930331.0,0.98,0.4122,2.4,40.74,73.726,44.0,19.724,13.053,22669.797,0.7,253.782,5.59,34.3,39.9,,78.49,0.851
Cuba,1,0.0725237935451811,,,,,411.90111100527696,75.43,-12.0,4702518.0,2847661.0,1.01,,,71.76,110.408,43.1,14.738,9.719,,,190.968,8.27,17.1,53.3,85.198,78.8,0.783
Cyprus,1,0.03198955592881736,2.2879336610844807,0.3906228201851552,12.951925491487213,14.33250930519361,310.34425031110317,78.18,-42.0,6734.0,605.0,0.79,0.0411,24.3,84.26,127.657,37.3,13.416,8.563,32415.132,,141.171,9.24,19.6,52.7,,80.98,0.887
Cyprus,2,0.02768762366281438,2.935251477391309,0.35714086416928476,59.82515722568513,69.70831635984175,758.7792478836614,57.31,-25.0,243740.0,75564.0,0.77,0.0157,63.7,75.0,127.657,37.3,13.416,8.563,32415.132,,141.171,9.24,19.6,52.7,,80.98,0.887
