1,2,3,4,5,6,7,8,9,10
Benin - peak Nº1,Bosnia and Herzegovina - peak Nº2,Croatia - peak Nº1,Kuwait - peak Nº2,,,,,,
Benin - peak Nº2,Brazil - peak Nº1,Croatia - peak Nº2,Lebanon - peak Nº2,,,,,,
Bolivia - peak Nº1,Brazil - peak Nº2,Cuba - peak Nº1,Lebanon - peak Nº3,,,,,,
Bolivia - peak Nº2,Bulgaria - peak Nº1,Cyprus - peak Nº1,Russia - peak Nº2,,,,,,
Burkina Faso - peak Nº1,Canada - peak Nº1,Denmark - peak Nº1,Turkey - peak Nº3,,,,,,
Burkina Faso - peak Nº2,Canada - peak Nº2,Dominican Republic - peak Nº5,Uruguay - peak Nº1,,,,,,
Cambodia - peak Nº1,Canada - peak Nº5,Eswatini - peak Nº2,,,,,,,
Cambodia - peak Nº2,Chile - peak Nº1,Eswatini - peak Nº3,,,,,,,
Cambodia - peak Nº3,Chile - peak Nº2,France - peak Nº1,,,,,,,
Cameroon - peak Nº1,Chile - peak Nº4,Germany - peak Nº2,,,,,,,
Cameroon - peak Nº2,Colombia - peak Nº1,Italy - peak Nº1,,,,,,,
Cameroon - peak Nº3,Costa Rica - peak Nº1,Japan - peak Nº2,,,,,,,
Canada - peak Nº3,Costa Rica - peak Nº3,Jordan - peak Nº1,,,,,,,
Cape Verde - peak Nº1,Cuba - peak Nº2,Jordan - peak Nº2,,,,,,,
Central African Republic - peak Nº1,Ecuador - peak Nº2,Kazakhstan - peak Nº1,,,,,,,
Central African Republic - peak Nº2,Eswatini - peak Nº1,Kazakhstan - peak Nº2,,,,,,,
Chad - peak Nº1,Fiji - peak Nº2,Lebanon - peak Nº1,,,,,,,
Chad - peak Nº2,Germany - peak Nº1,Malaysia - peak Nº2,,,,,,,
Chad - peak Nº3,India - peak Nº2,Malaysia - peak Nº3,,,,,,,
China - peak Nº1,India - peak Nº3,Spain - peak Nº1,,,,,,,
China - peak Nº2,Indonesia - peak Nº3,United Kingdom - peak Nº1,,,,,,,
Congo - peak Nº1,Iran - peak Nº2,United States - peak Nº1,,,,,,,
Congo - peak Nº2,Iran - peak Nº3,,,,,,,,
Congo - peak Nº3,Iran - peak Nº4,,,,,,,,
Cote d'Ivoire - peak Nº1,Jamaica - peak Nº2,,,,,,,,
Cote d'Ivoire - peak Nº2,Jamaica - peak Nº3,,,,,,,,
Cote d'Ivoire - peak Nº3,Jamaica - peak Nº4,,,,,,,,
Cote d'Ivoire - peak Nº4,Kuwait - peak Nº1,,,,,,,,
Cuba - peak Nº3,Mexico - peak Nº3,,,,,,,,
Democratic Republic of Congo - peak Nº1,Morocco - peak Nº2,,,,,,,,
Democratic Republic of Congo - peak Nº2,Morocco - peak Nº3,,,,,,,,
Democratic Republic of Congo - peak Nº3,Russia - peak Nº1,,,,,,,,
Democratic Republic of Congo - peak Nº4,South Africa - peak Nº1,,,,,,,,
Djibouti - peak Nº1,South Africa - peak Nº2,,,,,,,,
Djibouti - peak Nº2,South Africa - peak Nº3,,,,,,,,
Djibouti - peak Nº3,South Africa - peak Nº4,,,,,,,,
Djibouti - peak Nº4,Turkey - peak Nº1,,,,,,,,
Dominican Republic - peak Nº1,Turkey - peak Nº2,,,,,,,,
Dominican Republic - peak Nº2,United States - peak Nº3,,,,,,,,
Dominican Republic - peak Nº3,,,,,,,,,
Dominican Republic - peak Nº4,,,,,,,,,
Ecuador - peak Nº1,,,,,,,,,
Egypt - peak Nº1,,,,,,,,,
Egypt - peak Nº2,,,,,,,,,
Egypt - peak Nº3,,,,,,,,,
Egypt - peak Nº4,,,,,,,,,
Ethiopia - peak Nº1,,,,,,,,,
Ethiopia - peak Nº2,,,,,,,,,
Ethiopia - peak Nº3,,,,,,,,,
Ethiopia - peak Nº4,,,,,,,,,
Gabon - peak Nº1,,,,,,,,,
Gabon - peak Nº2,,,,,,,,,
Gabon - peak Nº3,,,,,,,,,
Gabon - peak Nº4,,,,,,,,,
Gambia - peak Nº1,,,,,,,,,
Gambia - peak Nº2,,,,,,,,,
Gambia - peak Nº3,,,,,,,,,
Gambia - peak Nº4,,,,,,,,,
Ghana - peak Nº1,,,,,,,,,
Ghana - peak Nº2,,,,,,,,,
Ghana - peak Nº3,,,,,,,,,
Ghana - peak Nº4,,,,,,,,,
India - peak Nº1,,,,,,,,,
Indonesia - peak Nº1,,,,,,,,,
Indonesia - peak Nº2,,,,,,,,,
Iran - peak Nº1,,,,,,,,,
Jamaica - peak Nº1,,,,,,,,,
Jamaica - peak Nº5,,,,,,,,,
Japan - peak Nº1,,,,,,,,,
Kenya - peak Nº1,,,,,,,,,
Kenya - peak Nº2,,,,,,,,,
Kenya - peak Nº3,,,,,,,,,
Kenya - peak Nº4,,,,,,,,,
Kenya - peak Nº5,,,,,,,,,
Malaysia - peak Nº1,,,,,,,,,
Mexico - peak Nº1,,,,,,,,,
Mexico - peak Nº2,,,,,,,,,
Morocco - peak Nº1,,,,,,,,,
South Africa - peak Nº5,,,,,,,,,
